epoch,DSSIMObjective,loss,psnr
0,0.03440510867239565,326.88416709121395,56.803463200160436
1,0.021441283957006372,134.68326894799057,62.142962311725228
2,0.021144156391751403,125.05024840685786,62.920256244892975
3,0.019018204394271786,116.62374348543128,63.620203827838509
4,0.020323909510269154,121.78588018611985,63.212600544520789
5,0.018117001215566177,110.81635128721899,64.124026894082832
6,0.018920950665689853,113.40481367305833,63.886996366539783
7,0.018282683044481947,110.56845796546158,64.140880958401425
8,0.019413999586879296,113.89759086297482,63.853408268519807
9,0.018116939681753211,108.57274169921875,64.310819143178506
10,0.018435336766308364,114.13881948042889,63.903593507104993
11,0.017869147621285247,106.72702629712163,64.501197044216852
12,0.018362085773058388,107.63130611497529,64.432585961478097
13,0.017834673421837543,106.74004756382533,64.488516842589092
14,0.01853969393925247,110.28181633462711,64.164690445880495
