epoch,DSSIMObjective,loss,mean_squared_error
0,0.50103416296900538,-161.40912939772315,12646719525628.18
1,0.50000005960464478,-225.71885291897522,597233857257906.62
2,0.50000005960464478,-250.67877094502353,5897821843846675.0
3,0.50000005960464478,-266.75760871731507,27466510516356140.0
4,0.50000005960464478,-278.92160345583545,89594488917276512.0
5,0.50000005960464478,-289.15205140405772,2.4769773612974067e+17
6,0.50000005960464478,-298.48213874661195,6.2559845496675315e+17
7,0.50000005960464478,-307.44496895926341,1.5294925999675953e+18
8,0.50000005960464478,-315.61847745934313,3.4597422343404293e+18
9,0.50000005960464478,-323.05840043048471,7.2253395309821676e+18
10,0.50000005960464478,-329.97727137974329,1.4416698492425075e+19
11,0.50000005960464478,-336.48739287707269,2.7602903415782539e+19
12,0.50000005960464478,-342.69598986567286,5.1209142335787729e+19
13,0.50000005960464478,-348.65631913165657,9.3221773950616388e+19
14,0.50000005960464478,-354.41663195551661,1.6513406107796144e+20
