epoch,loss,mean_squared_error,psnr
0,0.15963117083420558,849.30940883402923,51.121727215513893
1,0.14016334186403118,257.15590921518753,56.238522237660931
2,0.14020421717848097,257.77022237972335,56.307732547059352
3,0.13904733857025905,283.06060509195135,56.393950551869921
4,0.13519769948051899,214.45731335075533,57.7966796952851
5,0.13154072896862518,205.26389113445671,58.307801756566882
6,0.13247232759485439,208.42264310875717,58.118430958961952
7,0.13203717219282168,224.03808501885862,57.872459505042251
8,0.13088372155111663,184.00207541329519,59.111458696637833
9,0.12937690390616047,188.03119036616113,59.236056705397004
