epoch,loss,mean_squared_error,psnr
0,0.039894297008155562,1921.5208197146046,35.918763203523596
1,0.025999293518157638,1695.0293322504783,36.836456828214686
2,0.026660264157975205,1717.9677480269452,36.752649120408662
3,0.021811737023217946,1702.4767041264747,36.829283951739875
4,0.020773318970613942,1676.1091236348054,36.988800079968513
5,0.022200951115133202,1697.3833538444674,36.862524507483656
6,0.020240931846771618,1694.4779681770169,36.912925112977319
7,0.021417924292309553,1727.0701849489797,36.676669981041734
8,0.020656704336252749,1706.7849292988681,36.786278471654775
9,0.020521737637036307,1650.7348647759886,37.206968439841759
10,0.025792698723701189,1772.1952076191806,36.680251218834705
11,0.020040790759483163,1652.2848110899633,37.284413660789021
12,0.020866229045870047,1667.3329424176898,37.189864473926775
13,0.019537272408832702,1621.3977671097737,37.49149699308434
14,0.018253827992142462,1621.7637287373445,37.46249244845643
