epoch,loss,mean_squared_error,psnr
0,0.015176640593632862,2685.4765581430679,32.083546063505523
1,0.012406386171431746,2672.9520945538097,32.093843324722783
2,0.01178491660410734,2739.7555790705687,31.848037280698968
3,0.011424506749435929,2841.3234504310694,31.480541180820047
4,0.011249870160167201,2870.4155714465724,31.375963124921245
5,0.011107598852696193,2868.7452840973756,31.375912375554332
6,0.011003209124442817,2942.1018517088319,31.121366355173546
7,0.010917764401274592,3025.127791523214,30.842311039824391
8,0.010847127888110368,3135.6062596284387,30.485938659890262
9,0.010741269531534765,3247.2295996881298,30.131846265366125
10,0.010701572848496033,3380.9476256117487,29.731725565327814
11,0.01068750120466575,3512.9060436236869,29.350903048798148
12,0.010641381331696684,3569.8983810631221,29.188262203506326
13,0.010569993959404006,3701.6498585838931,28.827834737660609
14,0.010565944519097472,3813.6603820864293,28.527705000640204
15,0.010520413235308647,3986.5350793368116,28.084294723050281
16,0.010527612601186882,3962.1853924389065,28.143456171454549
17,0.010485988940353604,4082.6649904503161,27.84785973651104
18,0.010441899558497277,4108.3361039906958,27.781982341690938
19,0.010414371312533881,4242.9018850272951,27.464736098528654
20,0.010388266894000638,4288.3569794241021,27.352169131339526
21,0.010380368405549897,4328.4309632554387,27.263171792402474
22,0.010341808080293323,4423.1602945794175,27.043558838017649
23,0.010285387747147209,4495.0751060144466,26.884791783264351
24,0.010286988302569596,4558.3838455501882,26.743621171203042
25,0.010264796000332586,4573.6212623874053,26.709932886574197
26,0.010269585213770277,4595.0211126003996,26.662016016139447
27,0.010243369794838832,4678.7108100438591,26.485446020914289
28,0.010256448972053946,4621.7648463412952,26.610285605153731
29,0.010195406017140326,4658.7579498132236,26.528135602556084
30,0.010201992771385235,4652.0096242469999,26.541565218477913
31,0.010163799681398886,4692.0480512700397,26.455306669427749
32,0.010160193579154172,4689.3844792869158,26.454785426970449
33,0.010147321160880773,4754.7869009790011,26.322863309862214
34,0.010165536062708114,4700.051357609871,26.435913912389083
35,0.010135204779697945,4657.6658256856263,26.530509654986872
36,0.010100352194772705,4666.2800438284503,26.509646263479816
37,0.010087125317804597,4760.9050891253009,26.306662492226117
38,0.010077927933783443,4788.4839102944525,26.249768931759011
39,0.01009097744577005,4868.3122586030986,26.08406487186047
40,0.010045305072474336,4881.4543334579866,26.062053243774034
41,0.010055835401330678,4842.3233246770533,26.140341546954772
42,0.010042385986904856,4902.3477278916816,26.01083962701486
43,0.010057816555678485,4945.1673051752732,25.924323048824821
44,0.010013527463180082,5018.6841777059217,25.776940972747962
45,0.010011177309779072,4950.5803347902165,25.915211718635678
46,0.010001572834545384,4955.0307905024474,25.90465805657076
47,0.010000039941246517,4902.2221847105475,26.01977561609306
48,0.009996330748885408,4961.2698269878792,25.897517645098539
49,0.009997993330633545,4932.9719871370153,25.950341802432312
50,0.0099905475147303996,4882.0366309508327,26.059436616292231
51,0.0099487860544253248,4933.2268737602435,25.95613297413837
52,0.0099349190686460146,5007.9642438652363,25.805364496427568
53,0.0099338476962102708,4966.360692266966,25.886003606599775
54,0.0099314302535781895,4991.4547544417846,25.835785364633296
55,0.0099219437691859865,4989.3391867043201,25.841641444147687
56,0.0099151883432888749,5059.0382381125619,25.704975082127536
57,0.0098783401893761929,4988.2617814491741,25.840673819392084
58,0.009920743075106148,5007.1073129389961,25.802446405448478
59,0.0099051304025750929,5063.2202932431228,25.693077030241426
60,0.0098633573669649494,4989.0235154674901,25.841525598023857
61,0.0098703084297189405,5067.754710186533,25.684834807174635
62,0.009881085398353532,5070.7608422318062,25.676581434553544
63,0.0098802825214552546,5047.0169297423745,25.725026502817652
64,0.0098959040152997793,5219.8112234570108,25.389653908276038
65,0.0098584565595320542,5171.3245856722733,25.482455963547594
66,0.0098813734454505971,5107.3127540485175,25.605840889000866
67,0.0098770506880255793,5194.3088077858756,25.437749202541706
68,0.0098520334880521886,5243.0430400995265,25.344964045466046
69,0.0098039391063178948,5172.7134307575525,25.478871848655167
70,0.0098156256441431049,5233.7984500245921,25.364865463209203
71,0.0098411008654575131,5192.0403360452165,25.439989122912738
72,0.0098570496637473987,5213.1966691190819,25.400511213892084
73,0.0098136115224661761,5158.7504282241807,25.503359011234281
74,0.0098024651503047944,5152.5943506977192,25.515980413875521
75,0.0098054172333369161,5154.4600503117681,25.511908273369414
